M.Maniglia C Kg 9.08
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
10.87,,PALMIERI Agostino,58,LIBERTAS ATL.LAMEZIA,5 su- 1,Villafranca Tirrena,18/03/2023
10.87,,MACCIONI Mario,54,ASD ATLETICA PISTOIA,11 su- 1,Mariano Comense,16/04/2023
10.62,,SCARANO Antonio,56,S.S. VITTORIO ALFIERI ASTI,12 su- 1,Santhia,18/06/2023
10.61,,APPLETON Robert,58,ATLETICA CANAVESANA,2 su- 1,Novara,12/02/2023
,(50)/2023
10.51,,CAMINATI Giampietro,58,ATL. VIRTUS CASTENEDOLO,5 su- 1,Ancona,10/03/2023
10.32,,APPLETON Robert,58,ATLETICA CANAVESANA,12 su- 1,Aosta,18/03/2023
10.19,,SCARANO Antonio,56,S.S. VITTORIO ALFIERI ASTI,12 su- 1,Mariano Comense,16/04/2023
10.06,,APPLETON Robert,58,ATLETICA CANAVESANA,7 su- 1,Santhia,18/06/2023
9.99,,APPLETON Robert,58,ATLETICA CANAVESANA,13 su- 1,Mariano Comense,16/04/2023
9.97,,MARASTONI Gualtiero,55,A.S. LA FRATELLANZA 1874,8 su- 1,Santhia,18/06/2023
9.93,,BRUNO Antonio guido,59,AMATORI MASTERS NOVARA,9 su- 1,Santhia,18/06/2023
9.79,,SCARANO Antonio,56,S.S. VITTORIO ALFIERI ASTI,14 su- 1,Aosta,18/03/2023
9.74,,MIOTTO Rodolfo,58,G.S. ERMENEGILDO ZEGNA,15 su- 1,Santhia,18/06/2023
9.72,,SCARANO Antonio,56,S.S. VITTORIO ALFIERI ASTI,11 su- 1,Santhia,18/06/2023
,(60)/2023
9.71,,MIOTTO Rodolfo,58,G.S. ERMENEGILDO ZEGNA,3 su- 1,Novara,12/02/2023
9.68,,DELLA VALENTINA Renato,58,ATLETICA RIVIERA DEL BRENTA,11 su- 1,Monselice,04/06/2023
9.23,,MARASTONI Gualtiero,55,A.S. LA FRATELLANZA 1874,15 su- 1,Aosta,18/03/2023
8.86,,BERTUZZO Flavio,58,ATLETICA CAIRO,14 su- 1,Mariano Comense,16/04/2023
8.69,,FEMIANO Francesco,55,A.S.D.  C.U.S. GENOVA,12 su- 1,Santhia,18/06/2023
8.54,,BERTUZZO Flavio,58,ATLETICA CAIRO,4 su- 1,Novara,12/02/2023
8.50,,BUIATTI Lucio,59,A.S.D. ATLETICA MASTER TRIESTE,15 su- 1,Mariano Comense,16/04/2023
8.42,,BERTUZZO Flavio,58,ATLETICA CAIRO,5 su- 1,Acireale,25/06/2023
8.24,,CICERI Giancarlo,59,TEAM ALTO LAMBRO,16 su- 1,Mariano Comense,16/04/2023
7.83,,BERTUZZO Flavio,58,ATLETICA CAIRO,6 su- 1,Ancona,10/03/2023
,(70)/2023
7.83,,RUISI Vincenzo,54,ASD ROMATLETICA,1 se- 2,Colleferro,11/06/2023
7.82,,SOKOLI Tonin,58,S.S. VITTORIO ALFIERI ASTI,17 su- 1,Mariano Comense,16/04/2023
7.81,,DI MARCO Giancarlo,56,ATL.VICENTINA,18 su- 1,Mariano Comense,16/04/2023
7.72,,FEMIANO Francesco,55,A.S.D.  C.U.S. GENOVA,19 su- 1,Mariano Comense,16/04/2023
7.64,,BOVA Giovambattista,59,ATLETICA SANDRO CALVESI,20 su- 1,Santhia,18/06/2023
7.50,,PROSERPIO Mauro roberto,63,TEAM ALTO LAMBRO,20 su- 1,Mariano Comense,16/04/2023
7.27,,DI MAURO Biagio,54,A.S.D. POL. FIAMMA S.GREGORIO,7 su- 1,Villafranca Tirrena,18/03/2023
7.18,,ZAGARIA Angelo,54,ASD ARCA ATL.AVERSA A.AVERSANO,1 su- 1,Salerno,01/07/2023
7.15,,DI MAURO Biagio,54,A.S.D. POL. FIAMMA S.GREGORIO,6 su- 1,Acireale,25/06/2023
7.13,,BOVA Giovambattista,59,ATLETICA SANDRO CALVESI,18 su- 1,Aosta,18/03/2023
,(80)/2023
6.93,,TRABUCCO Walter,58,SISPORT SSD,14 su- 1,Santhia,18/06/2023
16.99,,TOMAINO Raffaele,62,A.S.D. ATLETICA MASTER TRIESTE,1 su- 1,Ancona,10/03/2023
16.68,,TOMAINO Raffaele,62,A.S.D. ATLETICA MASTER TRIESTE,1 su- 1,Acireale,25/06/2023
16.60,,TOMAINO Raffaele,62,A.S.D. ATLETICA MASTER TRIESTE,1 su- 1,Mariano Comense,16/04/2023
15.90,,LOCATI Lorenzo,55,FORTI E LIBERI MONZA 1878 ASD,1 su- 1,Ancona,10/03/2023
15.76,,LOCATI Lorenzo,55,FORTI E LIBERI MONZA 1878 ASD,2 su- 1,Mariano Comense,16/04/2023
15.43,,LOCATI Lorenzo,55,FORTI E LIBERI MONZA 1878 ASD,1 su- 1,Acireale,25/06/2023
15.28,,LOCATI Lorenzo,55,FORTI E LIBERI MONZA 1878 ASD,1 su- 1,Aosta,18/03/2023
15.27,,LOCATI Lorenzo,55,FORTI E LIBERI MONZA 1878 ASD,2 su- 1,Santhia,18/06/2023
15.25,,LOCATI Lorenzo,55,FORTI E LIBERI MONZA 1878 ASD,1 su- 1,Novara,12/02/2023
14.80,,CORRADINI Alessandro,58,ATLETICA CANAVESANA,4 su- 1,Aosta,18/03/2023
,(10)/2023
14.56,,CORRADINI Alessandro,58,ATLETICA CANAVESANA,3 su- 1,Mariano Comense,16/04/2023
14.55,,CORRADINI Alessandro,58,ATLETICA CANAVESANA,3 su- 1,Santhia,18/06/2023
13.98,,GALLI Daniele,57,ACQUADELA BOLOGNA,2 su- 1,Acireale,25/06/2023
13.83,,CORRADINI Alessandro,58,ATLETICA CANAVESANA,2 su- 1,Ancona,10/03/2023
13.43,,MAGGIOLO Luigi,58,ATL. VIRTUS CASTENEDOLO,3 su- 1,Acireale,25/06/2023
13.29,,MAGGIOLO Luigi,58,ATL. VIRTUS CASTENEDOLO,3 su- 1,Ancona,10/03/2023
13.26,,MUNARI Giampaolo,56,A.S.D. ATLETICA MASTER TRIESTE,4 su- 1,Mariano Comense,16/04/2023
13.16,,MARCHETTI Fabrizio,61,ATL. PAVESE,5 su- 1,Santhia,18/06/2023
13.08,,GIACOMINI Marco,60,SHARDANA ASD,2 su- 1,Ancona,10/03/2023
13.05,,CICCIA Antonio,63,A.S. DIL. PUNTESE S.G LA PUNTA,5 su- 1,Mariano Comense,16/04/2023
,(20)/2023
12.91,,MAGGIOLO Luigi,58,ATL. VIRTUS CASTENEDOLO,6 su- 1,Mariano Comense,16/04/2023
12.89,,CICCIA Antonio,63,A.S. DIL. PUNTESE S.G LA PUNTA,3 su- 1,Ancona,10/03/2023
12.86,,MARCHETTI Fabrizio,61,ATL. PAVESE,7 su- 1,Mariano Comense,16/04/2023
12.79,,ROSSANO Giuseppe,61,AMATORI ATL. ACQUAVIVA,1 se- 1,Lecce,30/04/2023
12.75,,DE FEO Francesco,58,CUS BARI,2 se- 1,Lecce,30/04/2023
12.57,,DE FEO Francesco,58,CUS BARI,1 se- 1,Lecce,27/05/2023
12.44,,DUSKOVIC Giuseppe,62,ATLETICA CANAVESANA,7 su- 1,Santhia,18/06/2023
12.22,,CICCIA Antonio,63,A.S. DIL. PUNTESE S.G LA PUNTA,3 su- 1,Villafranca Tirrena,18/03/2023
12.14,,FOLETTI Francesco,62,MOTUS ATLETICA CASTEGNATO,4 su- 1,Ancona,10/03/2023
12.08,,CICCIA Antonio,63,A.S. DIL. PUNTESE S.G LA PUNTA,2 su- 1,Acireale,25/06/2023
,(30)/2023
12.06,,PELLEGRINO Salvatore giorgio,57,A.S. DILETT. ATL.VILLAFRANCA,4 su- 1,Acireale,25/06/2023
11.99,,SELLA Maurizio,61,ATL.VICENTINA,2 su- 1,Monselice,04/06/2023
11.94,,BALLICO Giancarlo,59,G.S. ZELOFORAMAGNO,8 su- 1,Mariano Comense,16/04/2023
11.92,,FOLETTI Francesco,62,MOTUS ATLETICA CASTEGNATO,9 su- 1,Mariano Comense,16/04/2023
11.84,,PILOTTO Giuseppe beniamino,52,ITALIA,8 su- 1,Santhia,18/06/2023
11.82,,BELLANTONI Michelangelo,56,ATLETICA SANDRO CALVESI,9 su- 1,Santhia,18/06/2023
11.80,,DUSKOVIC Giuseppe,62,ATLETICA CANAVESANA,3 su- 1,Acireale,25/06/2023
11.61,,BELLANTONI Michelangelo,56,ATLETICA SANDRO CALVESI,9 su- 1,Aosta,18/03/2023
11.60,,BELLANTONI Michelangelo,56,ATLETICA SANDRO CALVESI,10 su- 1,Mariano Comense,16/04/2023
11.57,,GIACOMINI Marco,60,SHARDANA ASD,1 su- 1,Sassari,22/04/2023
,(40)/2023
11.56,,BRISOTTO Valter,59,ASD ATLETICA BIOTEKNA,4 su- 1,Monselice,04/06/2023
11.51,,FERRAMONDO Gabriele,55,S.E.F. MACERATA,4 su- 1,Ancona,10/03/2023
11.44,,FOLETTI Francesco,62,MOTUS ATLETICA CASTEGNATO,4 su- 1,Santhia,18/06/2023
11.36,,BELLANTONI Michelangelo,56,ATLETICA SANDRO CALVESI,5 su- 1,Santhia,18/06/2023
11.18,,BALLICO Giancarlo,59,G.S. ZELOFORAMAGNO,6 su- 1,Santhia,18/06/2023
10.88,,PALMIERI Agostino,58,LIBERTAS ATL.LAMEZIA,2 su- 1,Reggio Di Calabria,04/02/2023
10.87,,PALMIERI Agostino,58,LIBERTAS ATL.LAMEZIA,5 su- 1,Villafranca Tirrena,18/03/2023
10.87,,MACCIONI Mario,54,ASD ATLETICA PISTOIA,11 su- 1,Mariano Comense,16/04/2023
10.62,,SCARANO Antonio,56,S.S. VITTORIO ALFIERI ASTI,12 su- 1,Santhia,18/06/2023
10.61,,APPLETON Robert,58,ATLETICA CANAVESANA,2 su- 1,Novara,12/02/2023
,(50)/2023
10.51,,CAMINATI Giampietro,58,ATL. VIRTUS CASTENEDOLO,5 su- 1,Ancona,10/03/2023
10.32,,APPLETON Robert,58,ATLETICA CANAVESANA,12 su- 1,Aosta,18/03/2023
10.19,,SCARANO Antonio,56,S.S. VITTORIO ALFIERI ASTI,12 su- 1,Mariano Comense,16/04/2023
10.06,,APPLETON Robert,58,ATLETICA CANAVESANA,7 su- 1,Santhia,18/06/2023
9.99,,APPLETON Robert,58,ATLETICA CANAVESANA,13 su- 1,Mariano Comense,16/04/2023
9.97,,MARASTONI Gualtiero,55,A.S. LA FRATELLANZA 1874,8 su- 1,Santhia,18/06/2023
9.93,,BRUNO Antonio guido,59,AMATORI MASTERS NOVARA,9 su- 1,Santhia,18/06/2023
9.79,,SCARANO Antonio,56,S.S. VITTORIO ALFIERI ASTI,14 su- 1,Aosta,18/03/2023
9.74,,MIOTTO Rodolfo,58,G.S. ERMENEGILDO ZEGNA,15 su- 1,Santhia,18/06/2023
9.72,,SCARANO Antonio,56,S.S. VITTORIO ALFIERI ASTI,11 su- 1,Santhia,18/06/2023
,(60)/2023
9.71,,MIOTTO Rodolfo,58,G.S. ERMENEGILDO ZEGNA,3 su- 1,Novara,12/02/2023
9.68,,DELLA VALENTINA Renato,58,ATLETICA RIVIERA DEL BRENTA,11 su- 1,Monselice,04/06/2023
9.23,,MARASTONI Gualtiero,55,A.S. LA FRATELLANZA 1874,15 su- 1,Aosta,18/03/2023
8.86,,BERTUZZO Flavio,58,ATLETICA CAIRO,14 su- 1,Mariano Comense,16/04/2023
8.69,,FEMIANO Francesco,55,A.S.D.  C.U.S. GENOVA,12 su- 1,Santhia,18/06/2023
8.54,,BERTUZZO Flavio,58,ATLETICA CAIRO,4 su- 1,Novara,12/02/2023
8.50,,BUIATTI Lucio,59,A.S.D. ATLETICA MASTER TRIESTE,15 su- 1,Mariano Comense,16/04/2023
8.42,,BERTUZZO Flavio,58,ATLETICA CAIRO,5 su- 1,Acireale,25/06/2023
8.24,,CICERI Giancarlo,59,TEAM ALTO LAMBRO,16 su- 1,Mariano Comense,16/04/2023
7.83,,BERTUZZO Flavio,58,ATLETICA CAIRO,6 su- 1,Ancona,10/03/2023
,(70)/2023
7.83,,RUISI Vincenzo,54,ASD ROMATLETICA,1 se- 2,Colleferro,11/06/2023
7.82,,SOKOLI Tonin,58,S.S. VITTORIO ALFIERI ASTI,17 su- 1,Mariano Comense,16/04/2023
7.81,,DI MARCO Giancarlo,56,ATL.VICENTINA,18 su- 1,Mariano Comense,16/04/2023
7.72,,FEMIANO Francesco,55,A.S.D.  C.U.S. GENOVA,19 su- 1,Mariano Comense,16/04/2023
7.64,,BOVA Giovambattista,59,ATLETICA SANDRO CALVESI,20 su- 1,Santhia,18/06/2023
7.50,,PROSERPIO Mauro roberto,63,TEAM ALTO LAMBRO,20 su- 1,Mariano Comense,16/04/2023
7.27,,DI MAURO Biagio,54,A.S.D. POL. FIAMMA S.GREGORIO,7 su- 1,Villafranca Tirrena,18/03/2023
7.18,,ZAGARIA Angelo,54,ASD ARCA ATL.AVERSA A.AVERSANO,1 su- 1,Salerno,01/07/2023
7.15,,DI MAURO Biagio,54,A.S.D. POL. FIAMMA S.GREGORIO,6 su- 1,Acireale,25/06/2023
7.13,,BOVA Giovambattista,59,ATLETICA SANDRO CALVESI,18 su- 1,Aosta,18/03/2023
,(80)/2023
6.93,,TRABUCCO Walter,58,SISPORT SSD,14 su- 1,Santhia,18/06/2023
16.99,,TOMAINO Raffaele,62,A.S.D. ATLETICA MASTER TRIESTE,1 su- 1,Ancona,10/03/2023
16.68,,TOMAINO Raffaele,62,A.S.D. ATLETICA MASTER TRIESTE,1 su- 1,Acireale,25/06/2023
16.60,,TOMAINO Raffaele,62,A.S.D. ATLETICA MASTER TRIESTE,1 su- 1,Mariano Comense,16/04/2023
15.90,,LOCATI Lorenzo,55,FORTI E LIBERI MONZA 1878 ASD,1 su- 1,Ancona,10/03/2023
15.76,,LOCATI Lorenzo,55,FORTI E LIBERI MONZA 1878 ASD,2 su- 1,Mariano Comense,16/04/2023
15.43,,LOCATI Lorenzo,55,FORTI E LIBERI MONZA 1878 ASD,1 su- 1,Acireale,25/06/2023
15.28,,LOCATI Lorenzo,55,FORTI E LIBERI MONZA 1878 ASD,1 su- 1,Aosta,18/03/2023
15.27,,LOCATI Lorenzo,55,FORTI E LIBERI MONZA 1878 ASD,2 su- 1,Santhia,18/06/2023
15.25,,LOCATI Lorenzo,55,FORTI E LIBERI MONZA 1878 ASD,1 su- 1,Novara,12/02/2023
14.80,,CORRADINI Alessandro,58,ATLETICA CANAVESANA,4 su- 1,Aosta,18/03/2023
,(10)/2023
14.56,,CORRADINI Alessandro,58,ATLETICA CANAVESANA,3 su- 1,Mariano Comense,16/04/2023
14.55,,CORRADINI Alessandro,58,ATLETICA CANAVESANA,3 su- 1,Santhia,18/06/2023
13.98,,GALLI Daniele,57,ACQUADELA BOLOGNA,2 su- 1,Acireale,25/06/2023
13.83,,CORRADINI Alessandro,58,ATLETICA CANAVESANA,2 su- 1,Ancona,10/03/2023
13.43,,MAGGIOLO Luigi,58,ATL. VIRTUS CASTENEDOLO,3 su- 1,Acireale,25/06/2023
13.29,,MAGGIOLO Luigi,58,ATL. VIRTUS CASTENEDOLO,3 su- 1,Ancona,10/03/2023
13.26,,MUNARI Giampaolo,56,A.S.D. ATLETICA MASTER TRIESTE,4 su- 1,Mariano Comense,16/04/2023
13.16,,MARCHETTI Fabrizio,61,ATL. PAVESE,5 su- 1,Santhia,18/06/2023
13.08,,GIACOMINI Marco,60,SHARDANA ASD,2 su- 1,Ancona,10/03/2023
13.05,,CICCIA Antonio,63,A.S. DIL. PUNTESE S.G LA PUNTA,5 su- 1,Mariano Comense,16/04/2023
,(20)/2023
12.91,,MAGGIOLO Luigi,58,ATL. VIRTUS CASTENEDOLO,6 su- 1,Mariano Comense,16/04/2023
12.89,,CICCIA Antonio,63,A.S. DIL. PUNTESE S.G LA PUNTA,3 su- 1,Ancona,10/03/2023
12.86,,MARCHETTI Fabrizio,61,ATL. PAVESE,7 su- 1,Mariano Comense,16/04/2023
12.79,,ROSSANO Giuseppe,61,AMATORI ATL. ACQUAVIVA,1 se- 1,Lecce,30/04/2023
12.75,,DE FEO Francesco,58,CUS BARI,2 se- 1,Lecce,30/04/2023
12.57,,DE FEO Francesco,58,CUS BARI,1 se- 1,Lecce,27/05/2023
12.44,,DUSKOVIC Giuseppe,62,ATLETICA CANAVESANA,7 su- 1,Santhia,18/06/2023
12.22,,CICCIA Antonio,63,A.S. DIL. PUNTESE S.G LA PUNTA,3 su- 1,Villafranca Tirrena,18/03/2023
12.14,,FOLETTI Francesco,62,MOTUS ATLETICA CASTEGNATO,4 su- 1,Ancona,10/03/2023
12.08,,CICCIA Antonio,63,A.S. DIL. PUNTESE S.G LA PUNTA,2 su- 1,Acireale,25/06/2023
,(30)/2023
12.06,,PELLEGRINO Salvatore giorgio,57,A.S. DILETT. ATL.VILLAFRANCA,4 su- 1,Acireale,25/06/2023
11.99,,SELLA Maurizio,61,ATL.VICENTINA,2 su- 1,Monselice,04/06/2023
11.94,,BALLICO Giancarlo,59,G.S. ZELOFORAMAGNO,8 su- 1,Mariano Comense,16/04/2023
11.92,,FOLETTI Francesco,62,MOTUS ATLETICA CASTEGNATO,9 su- 1,Mariano Comense,16/04/2023
11.84,,PILOTTO Giuseppe beniamino,52,ITALIA,8 su- 1,Santhia,18/06/2023
11.82,,BELLANTONI Michelangelo,56,ATLETICA SANDRO CALVESI,9 su- 1,Santhia,18/06/2023
11.80,,DUSKOVIC Giuseppe,62,ATLETICA CANAVESANA,3 su- 1,Acireale,25/06/2023
11.61,,BELLANTONI Michelangelo,56,ATLETICA SANDRO CALVESI,9 su- 1,Aosta,18/03/2023
11.60,,BELLANTONI Michelangelo,56,ATLETICA SANDRO CALVESI,10 su- 1,Mariano Comense,16/04/2023
11.57,,GIACOMINI Marco,60,SHARDANA ASD,1 su- 1,Sassari,22/04/2023
,(40)/2023
11.56,,BRISOTTO Valter,59,ASD ATLETICA BIOTEKNA,4 su- 1,Monselice,04/06/2023
11.51,,FERRAMONDO Gabriele,55,S.E.F. MACERATA,4 su- 1,Ancona,10/03/2023
11.44,,FOLETTI Francesco,62,MOTUS ATLETICA CASTEGNATO,4 su- 1,Santhia,18/06/2023
11.36,,BELLANTONI Michelangelo,56,ATLETICA SANDRO CALVESI,5 su- 1,Santhia,18/06/2023
11.18,,BALLICO Giancarlo,59,G.S. ZELOFORAMAGNO,6 su- 1,Santhia,18/06/2023
10.88,,PALMIERI Agostino,58,LIBERTAS ATL.LAMEZIA,2 su- 1,Reggio Di Calabria,04/02/2023
10.87,,PALMIERI Agostino,58,LIBERTAS ATL.LAMEZIA,5 su- 1,Villafranca Tirrena,18/03/2023
10.87,,MACCIONI Mario,54,ASD ATLETICA PISTOIA,11 su- 1,Mariano Comense,16/04/2023
10.62,,SCARANO Antonio,56,S.S. VITTORIO ALFIERI ASTI,12 su- 1,Santhia,18/06/2023
10.61,,APPLETON Robert,58,ATLETICA CANAVESANA,2 su- 1,Novara,12/02/2023
,(50)/2023
10.51,,CAMINATI Giampietro,58,ATL. VIRTUS CASTENEDOLO,5 su- 1,Ancona,10/03/2023
10.32,,APPLETON Robert,58,ATLETICA CANAVESANA,12 su- 1,Aosta,18/03/2023
10.19,,SCARANO Antonio,56,S.S. VITTORIO ALFIERI ASTI,12 su- 1,Mariano Comense,16/04/2023
10.06,,APPLETON Robert,58,ATLETICA CANAVESANA,7 su- 1,Santhia,18/06/2023
9.99,,APPLETON Robert,58,ATLETICA CANAVESANA,13 su- 1,Mariano Comense,16/04/2023
9.97,,MARASTONI Gualtiero,55,A.S. LA FRATELLANZA 1874,8 su- 1,Santhia,18/06/2023
9.93,,BRUNO Antonio guido,59,AMATORI MASTERS NOVARA,9 su- 1,Santhia,18/06/2023
9.79,,SCARANO Antonio,56,S.S. VITTORIO ALFIERI ASTI,14 su- 1,Aosta,18/03/2023
9.74,,MIOTTO Rodolfo,58,G.S. ERMENEGILDO ZEGNA,15 su- 1,Santhia,18/06/2023
9.72,,SCARANO Antonio,56,S.S. VITTORIO ALFIERI ASTI,11 su- 1,Santhia,18/06/2023
,(60)/2023
9.71,,MIOTTO Rodolfo,58,G.S. ERMENEGILDO ZEGNA,3 su- 1,Novara,12/02/2023
9.68,,DELLA VALENTINA Renato,58,ATLETICA RIVIERA DEL BRENTA,11 su- 1,Monselice,04/06/2023
9.23,,MARASTONI Gualtiero,55,A.S. LA FRATELLANZA 1874,15 su- 1,Aosta,18/03/2023
8.86,,BERTUZZO Flavio,58,ATLETICA CAIRO,14 su- 1,Mariano Comense,16/04/2023
8.69,,FEMIANO Francesco,55,A.S.D.  C.U.S. GENOVA,12 su- 1,Santhia,18/06/2023
8.54,,BERTUZZO Flavio,58,ATLETICA CAIRO,4 su- 1,Novara,12/02/2023
8.50,,BUIATTI Lucio,59,A.S.D. ATLETICA MASTER TRIESTE,15 su- 1,Mariano Comense,16/04/2023
8.42,,BERTUZZO Flavio,58,ATLETICA CAIRO,5 su- 1,Acireale,25/06/2023
8.24,,CICERI Giancarlo,59,TEAM ALTO LAMBRO,16 su- 1,Mariano Comense,16/04/2023
7.83,,BERTUZZO Flavio,58,ATLETICA CAIRO,6 su- 1,Ancona,10/03/2023
,(70)/2023
7.83,,RUISI Vincenzo,54,ASD ROMATLETICA,1 se- 2,Colleferro,11/06/2023
7.82,,SOKOLI Tonin,58,S.S. VITTORIO ALFIERI ASTI,17 su- 1,Mariano Comense,16/04/2023
7.81,,DI MARCO Giancarlo,56,ATL.VICENTINA,18 su- 1,Mariano Comense,16/04/2023
7.72,,FEMIANO Francesco,55,A.S.D.  C.U.S. GENOVA,19 su- 1,Mariano Comense,16/04/2023
7.64,,BOVA Giovambattista,59,ATLETICA SANDRO CALVESI,20 su- 1,Santhia,18/06/2023
7.50,,PROSERPIO Mauro roberto,63,TEAM ALTO LAMBRO,20 su- 1,Mariano Comense,16/04/2023
7.27,,DI MAURO Biagio,54,A.S.D. POL. FIAMMA S.GREGORIO,7 su- 1,Villafranca Tirrena,18/03/2023
7.18,,ZAGARIA Angelo,54,ASD ARCA ATL.AVERSA A.AVERSANO,1 su- 1,Salerno,01/07/2023
7.15,,DI MAURO Biagio,54,A.S.D. POL. FIAMMA S.GREGORIO,6 su- 1,Acireale,25/06/2023
7.13,,BOVA Giovambattista,59,ATLETICA SANDRO CALVESI,18 su- 1,Aosta,18/03/2023
,(80)/2023
6.93,,TRABUCCO Walter,58,SISPORT SSD,14 su- 1,Santhia,18/06/2023
